Year,Age,COD.chap,COD.frac.F,COD.frac.M,COD.frac.T,Deaths.F,Deaths.M,Deaths.T,Rates.F,Rates.M,Rates.T,Country
1950,0,1,0.110220231,0.102840839,0.105992414,727.6739641,913.0209689,1640.762569,413.0423097,496.0617121,455.4787797,CAN
1950,1,1,0.229812689,0.204274119,0.215442345,256.7007733,294.7675544,551.5324032,40.77278915,44.86468622,42.86733084,CAN
1950,5,1,0.234392122,0.19373139,0.209974514,106.8828077,132.8997333,239.7908947,16.44189724,19.6409753,18.07411384,CAN
1950,10,1,0.239387238,0.108595395,0.161972131,78.99778847,51.90859893,130.8734817,14.30271005,9.110347554,11.66322534,CAN
1950,15,1,0.340222899,0.148996398,0.219009688,144.934955,109.8103454,254.7082671,27.25287555,20.30072163,23.74384855,CAN
1950,20,1,0.345872391,0.146576001,0.218884409,187.8087083,139.8335047,327.6699601,33.77123596,25.51144472,29.67377204,CAN
1950,25,1,0.300538802,0.145275291,0.209701717,195.3502216,133.3627176,328.812292,34.54680307,24.30296623,29.51063663,CAN
1950,30,1,0.219728312,0.142066147,0.174779735,153.5900902,136.2414347,289.7848004,29.52024936,26.67249681,28.10495163,CAN
1950,35,1,0.148948533,0.136112173,0.14185128,153.416989,172.4541229,325.8323902,32.01464785,35.28518537,33.66202472,CAN
1950,40,1,0.085094445,0.096490943,0.091616757,109.942023,166.9293321,276.86584,26.77009101,38.58362128,32.82996421,CAN
1950,45,1,0.065228917,0.072160255,0.069400311,106.7797376,179.1017518,285.8598793,30.28413072,47.33127327,39.10566673,CAN
1950,50,1,0.03825358,0.06045633,0.051960914,80.06474243,204.9469588,284.9016941,25.23584404,60.76506317,43.52677247,CAN
1950,55,1,0.026968913,0.04593184,0.038800135,74.94660788,211.7917146,286.7329994,27.17119189,71.73535507,50.20965053,CAN
1950,60,1,0.025253681,0.037421106,0.032932454,96.94888293,245.8940867,342.8268447,40.63472476,93.65557357,68.40970085,CAN
1950,65,1,0.01655215,0.028827383,0.02399769,85.98841774,231.0803014,317.0334891,43.48958423,104.5827675,75.72281021,CAN
1950,70,1,0.014015336,0.020825769,0.017931412,87.9742652,177.1439886,265.0800635,59.51154545,113.9267115,87.39383907,CAN
1950,75,1,0.009357158,0.014609648,0.012239848,59.99809905,114.086744,174.0628793,65.16126246,123.4689989,94.35455367,CAN
1950,80,1,0.007442968,0.007438527,0.007440697,43.04268286,44.95845639,88.00111944,80.68544144,96.37050155,88.0029147,CAN
1950,85,1,0.005433749,0.006256273,0.005825153,22.00124825,22.97928959,44.98183009,96.65788413,131.8610664,111.9260743,CAN
1950,90,1,0.002378592,0.006702561,0.004173564,4.000791686,7.989453078,11.99482174,61.22754826,183.4097279,110.1415616,CAN
1950,95,1,0.002303591,0.007899934,0.004365087,0.999758616,1.998683241,2.998815028,84.49521211,310.639937,164.1727503,CAN
1950,100,1,0.016663056,0,0.011624219,0.999783343,0,0.999682794,781.8748282,0,498.4126143,CAN
1950,105,1,0,0,0,0,0,0,0,0,0,CAN
1951,0,1,0.096530728,0.094923591,0.095613245,608.62624,797.6429321,1406.279603,336.5835162,422.7725379,380.5957964,CAN
1951,1,1,0.214922321,0.191797716,0.202129292,246.5159021,273.3117458,519.8765383,37.24287047,39.55182332,38.42579833,CAN
1951,5,1,0.193730212,0.170941818,0.179975132,90.47200916,121.3686906,211.8307298,13.15621815,16.91150203,15.07322561,CAN
1951,10,1,0.271031208,0.147276187,0.194425033,76.97286318,67.89432234,144.8466493,13.66647114,11.65053085,12.63952818,CAN
1951,15,1,0.310448331,0.130243725,0.200159752,142.1853356,93.77548185,235.7881875,26.86215433,17.43573116,22.09513459,CAN
1951,20,1,0.276896355,0.146441617,0.19236302,151.7392026,147.9060336,299.7015859,27.44366756,27.23907535,27.34743921,CAN
1951,25,1,0.271430734,0.176987461,0.21477862,178.872854,174.863611,353.7403865,30.97528332,31.38973175,31.17912767,CAN
1951,30,1,0.217567523,0.13921987,0.172171725,169.0499652,148.8260412,317.8290051,31.68929899,28.74712256,30.23578561,CAN
1951,35,1,0.119363166,0.1365929,0.128981376,120.7955239,175.1120976,295.8832767,24.35406083,34.73801017,29.58563252,CAN
1951,40,1,0.097263632,0.095677231,0.096341383,122.7467041,168.2005718,290.9509767,28.85932451,37.55707826,33.32081334,CAN
1951,45,1,0.065697267,0.068090777,0.067146629,105.3127197,167.7075839,273.0181926,29.27082703,43.04678186,36.43249058,CAN
1951,50,1,0.035580646,0.049676599,0.044444993,73.86542021,175.1596887,248.9808487,22.85722526,51.16928557,37.4140517,CAN
1951,55,1,0.025495873,0.04977699,0.04071717,71.92385836,236.2913693,308.1475446,25.69531018,80.08788002,53.5954856,CAN
1951,60,1,0.019488768,0.036728473,0.030236736,75.8892612,237.3761218,313.1618741,31.31017448,89.91039561,61.84166544,CAN
1951,65,1,0.017055078,0.027240895,0.023265697,87.20261184,218.1450906,305.2692125,42.55895726,96.01962752,70.65004037,CAN
1951,70,1,0.012494293,0.017576947,0.015423343,80.27583152,152.2163587,232.6611233,51.85160906,94.34586575,73.5903607,CAN
1951,75,1,0.010199536,0.011841956,0.011093579,71.38655545,97.8619232,169.3212927,75.03629324,102.734436,88.93242029,CAN
1951,80,1,0.005060861,0.006903252,0.005989868,31.01295516,42.99345275,74.01081219,56.6322544,88.74963123,71.71206173,CAN
1951,85,1,0.004431639,0.005419702,0.004902147,18.01461338,19.98786219,38.00634718,76.91877121,112.1089736,92.13823723,CAN
1951,90,1,0.002286275,0.004440586,0.003225493,4.005554433,5.990350217,10.00225518,58.58710438,130.3363573,87.48589579,CAN
1951,95,1,0.002234532,0.003988102,0.002864436,0.998835963,1.001013626,1.999376105,82.86917376,152.0034459,107.2705316,CAN
1951,100,1,0.017229499,0,0.011103813,0.999310939,0,0.999343138,761.7860488,0,473.8207011,CAN
1951,105,1,0,0,0,0,0,0,0,0,0,CAN
1952,0,1,0.096504179,0.097879104,0.097293488,633.4534295,867.1109789,1500.557471,344.487673,451.7469711,399.2660998,CAN
1952,1,1,0.227955447,0.178060729,0.200169222,274.9142695,270.1181265,545.060791,39.91925937,37.50223278,38.68565991,CAN
1952,5,1,0.208110168,0.15153358,0.174619323,106.1361859,111.8317818,217.9249151,14.59998874,14.70383475,14.65019037,CAN
1952,10,1,0.185726487,0.133500249,0.153064989,54.97504023,65.94912305,120.9213413,9.397201098,10.87648817,10.1498507,CAN
1952,15,1,0.22636321,0.109058543,0.14592245,78.3216706,82.55731722,160.9524621,14.68685113,15.18588147,14.94559104,CAN
1952,20,1,0.254130637,0.104422319,0.152900784,127.0653183,108.9124787,235.9259098,22.98103447,19.9290941,21.45924721,CAN
1952,25,1,0.202520444,0.11952812,0.15033541,122.7273893,123.1139636,245.9487306,20.94657468,21.60271433,21.27939147,CAN
1952,30,1,0.167730863,0.113905077,0.136084559,130.15915,125.8651106,255.9750548,23.68641558,23.6967972,23.68696487,CAN
1952,35,1,0.089861375,0.091669451,0.090910035,88.06414728,123.9370976,212.0022025,17.23989344,23.95711347,20.61987219,CAN
1952,40,1,0.075257962,0.070107803,0.072200179,93.9971951,128.0168482,222.0155508,21.28023305,27.58634322,24.51124784,CAN
1952,45,1,0.039640139,0.056289078,0.049729394,64.97018771,142.0736319,207.0234676,17.52892908,35.30148096,26.77823449,CAN
1952,50,1,0.035854809,0.045704511,0.042114996,75.94048556,169.1066912,245.0250462,23.05100009,48.3455976,36.07380166,CAN
1952,55,1,0.018530021,0.039340593,0.03181003,51.01314767,191.0772617,242.0743254,17.8346734,63.91367622,41.38058002,CAN
1952,60,1,0.019009759,0.02999807,0.025939228,71.95193738,194.207504,266.1105375,29.23943546,73.42356916,52.11912555,CAN
1952,65,1,0.01398749,0.024509484,0.020521303,69.96542543,201.2718801,271.1685014,33.32866654,87.37144909,61.58873664,CAN
1952,70,1,0.011852549,0.018342515,0.015571866,77.04157127,160.1851828,237.2062288,47.84326116,95.64964321,72.20892954,CAN
1952,75,1,0.006989513,0.010573594,0.008980792,45.99099706,87.10526459,133.077383,46.33055991,87.76857265,67.03767299,CAN
1952,80,1,0.005351822,0.00744028,0.006441176,31.01380911,47.04489259,78.05416708,55.04009961,94.07400583,73.38949529,CAN
1952,85,1,0.003293025,0.003845817,0.003558197,13.00744902,13.99108195,26.99960171,53.32037304,75.56443836,62.92098852,CAN
1952,90,1,0.002318418,0.003180459,0.002681918,4.003907999,3.997836355,8.002843146,56.22371297,83.87479852,67.31968642,CAN
1952,95,1,0.011360742,0.007406034,0.009856601,4.998726374,1.99962916,6.998186869,399.3852992,284.2017297,357.9269062,CAN
1952,100,1,0,0,0,0,0,0,0,0,0,CAN
1952,105,1,0,0,0,0,0,0,0,0,0,CAN
1953,0,1,0.089349333,0.091128471,0.090372224,564.6877873,780.5153501,1345.190556,303.299764,401.4725188,353.4445059,CAN
1953,1,1,0.190715498,0.163005729,0.175183713,208.8334701,228.2080207,437.0833643,29.32086444,30.60563036,29.98083913,CAN
