Year,Age,COD.chap,COD.frac.F,COD.frac.M,COD.frac.T,Deaths.F,Deaths.M,Deaths.T,Rates.F,Rates.M,Rates.T,Country
1958,0,1,0.046364304,0.037009269,0.040995149,504.9999999,542.9999999,1048,128.6155071,132.9595665,130.8302477,FRATNP
1958,1,1,0.146210269,0.121187139,0.132632521,298.9999999,293.9999999,592.9999997,19.26928383,18.24235149,18.74608797,FRATNP
1958,5,1,0.08976378,0.081463991,0.085020243,63.91181102,76.00590319,139.8582996,3.20211593,3.674621571,3.441119838,FRATNP
1958,10,1,0.054,0.039083558,0.045088567,24.678,29.11725067,54.19645733,1.427123068,1.621510657,1.537531842,FRATNP
1958,15,1,0.058823529,0.034456929,0.041968912,36.82352929,50.13483142,87.33730556,2.784837774,3.631021377,3.231097787,FRATNP
1958,20,1,0.085106383,0.043788672,0.056560342,84,94.40837696,177.7691549,5.758391599,6.200117772,5.96255166,FRATNP
1958,25,1,0.117824774,0.065153011,0.081136832,161.0664654,200.9970386,361.2211783,10.12381886,12.13755852,11.12491128,FRATNP
1958,30,1,0.125274725,0.109714286,0.115037594,233.1362636,390.8022855,623.8488718,14.54232266,23.83810711,19.23940221,FRATNP
1958,35,1,0.123980424,0.11589404,0.118862276,302.5122352,482.9304637,785.3230542,20.55314149,32.71332523,26.6382412,FRATNP
1958,40,1,0.078969244,0.107341895,0.096892699,209.5054034,487.3322028,696.9491816,19.6980034,46.76036166,33.09699488,FRATNP
1958,45,1,0.050537432,0.099071876,0.081405725,278.1074863,970.9043832,1245.751803,18.49624579,66.08750979,41.90629329,FRATNP
1958,50,1,0.038350308,0.076419214,0.063293883,315.4312836,1208.034939,1521.141894,21.19296237,84.23530529,52.04939113,FRATNP
1958,55,1,0.029052403,0.061971447,0.050963896,331.8946512,1386.363237,1722.324851,23.39042205,105.912489,63.13728544,FRATNP
1958,60,1,0.022721421,0.049435511,0.03877184,365.905766,1161.141292,1535.054673,28.67370462,123.6354945,69.29433598,FRATNP
1958,65,1,0.022028225,0.035343435,0.029224693,505.4155939,937.4846175,1445.716356,46.38029604,131.4751758,80.19411353,FRATNP
1958,70,1,0.017797588,0.024356059,0.02107805,591.3960361,796.3213603,1389.549337,64.81651485,141.253007,94.13200344,FRATNP
1958,75,1,0.012879331,0.017128594,0.014810179,549.8057558,598.6614721,1149.862323,83.57105543,159.7391867,111.3490706,FRATNP
1958,80,1,0.008516854,0.010311856,0.009267732,371.5392366,318.6878947,690.7147666,95.55624319,152.908659,115.652188,FRATNP
1958,85,1,0.005946585,0.006700969,0.006223884,159.5052507,101.1042241,260.849197,109.1396616,152.1424312,122.6939589,FRATNP
