Year,Age,COD.chap,COD.frac.F,COD.frac.M,COD.frac.T,Deaths.F,Deaths.M,Deaths.T,Rates.F,Rates.M,Rates.T,Country
1950,0,1,0.21357152,0.200337192,0.206390021,13729.04365,15282.70066,29011.83458,1159.872861,1237.143786,1199.337049,JPN
1950,1,1,0.551910018,0.526647477,0.539017068,22272.59368,22152.31488,44424.90819,528.4515407,504.8173019,516.3961003,JPN
1950,5,1,0.496293856,0.400900347,0.4452079,4560.523648,4246.440713,8806.844457,97.82562424,88.71077593,93.20666523,JPN
1950,10,1,0.432573893,0.315056159,0.374471367,2234.339325,1591.194284,3825.498377,52.33895524,36.45008698,44.30539186,JPN
1950,15,1,0.581171504,0.437800532,0.509161742,6142.674781,4667.085008,10809.38668,145.8782935,109.2136886,127.4064808,JPN
1950,20,1,0.6016963,0.54870271,0.574129819,10363.03945,10239.49491,20602.25815,268.8071058,270.8017329,269.7911356,JPN
1950,25,1,0.571144696,0.584664983,0.577676276,9720.311577,9295.524253,19015.88411,291.5733861,337.2915414,312.2642959,JPN
1950,30,1,0.494106176,0.545393379,0.518462052,6857.329032,6843.181625,13700.61378,245.6561874,295.8201288,268.3908362,JPN
1950,35,1,0.3910226,0.481451446,0.436389748,5492.420751,6806.774991,12299.35266,207.6443867,290.2657472,246.4738846,JPN
1950,40,1,0.295306863,0.39111072,0.346524564,4033.36019,6135.267826,10168.75641,178.4946157,282.7703184,229.5765232,JPN
1950,45,1,0.225887928,0.289268721,0.261666314,3338.277964,5540.511332,8878.856137,169.9007633,277.7904058,224.2512937,JPN
1950,50,1,0.170434068,0.219384754,0.198693038,2910.337256,5115.964713,8026.330465,175.9443105,300.8799997,239.2735393,JPN
1950,55,1,0.134958148,0.159545105,0.149531394,2663.35182,4582.180083,7245.53324,195.3335983,335.5203424,265.4836458,JPN
1950,60,1,0.100659351,0.115287792,0.109011919,2650.378826,4040.307946,6690.670849,224.2052253,368.765714,293.7401147,JPN
1950,65,1,0.070229356,0.078534232,0.074724405,2443.362179,3224.174971,5667.515119,252.1096214,408.4586336,322.2892455,JPN
1950,70,1,0.060807339,0.057984481,0.059383264,2534.438321,2460.865416,4995.313013,344.3769348,458.8566962,392.6353122,JPN
1950,75,1,0.057298317,0.049511405,0.053740707,2087.353058,1517.486437,3604.862109,506.7432038,575.1510566,533.4556026,JPN
1950,80,1,0.053372679,0.047791673,0.05115218,1374.242936,813.2450982,2187.498403,781.3771509,864.6587447,810.3996449,JPN
1950,85,1,0.048740686,0.042392553,0.046528023,578.1030456,269.0714667,847.1789802,1083.218334,1126.867021,1096.716398,JPN
1950,90,1,0.050417495,0.049889635,0.050255858,174.032117,76.01983037,250.0520404,1698.337144,1966.642976,1771.826804,JPN
1950,95,1,0.050400984,0.044107013,0.048566605,25.00443227,9.002241402,34.00682216,2149.584468,2291.365756,2185.390308,JPN
1950,100,1,0.102561363,0.062476093,0.090898163,3.999893147,0.999617494,4.999398948,4742.956301,2911.507264,4212.976642,JPN
1950,105,1,0,0,0,0,0,0,0,0,0,JPN
1951,0,1,0.189875074,0.17693941,0.182835604,10634.18894,11831.50487,22465.70363,999.9259071,1065.202177,1033.273494,JPN
1951,1,1,0.566376299,0.530179867,0.547768137,21915.85161,21704.59881,43620.44198,485.8301819,461.8558369,473.5976926,JPN
1951,5,1,0.504944907,0.39454816,0.446243219,3920.983045,3478.916565,7399.890649,86.44983979,74.54518661,80.41248963,JPN
1951,10,1,0.377671117,0.289115441,0.333020889,1675.009173,1303.977133,2978.981749,38.7643668,29.49324061,34.07558256,JPN
1951,15,1,0.504638188,0.356491952,0.427773409,4058.895779,3091.662191,7150.506299,95.25309986,71.44937542,83.25931297,JPN
1951,20,1,0.526717175,0.4455062,0.484075274,6813.76613,6371.072796,13184.77759,174.1110425,164.2540858,169.2037046,JPN
1951,25,1,0.517715687,0.514132402,0.515973968,7092.860228,6661.44901,13754.30773,207.0456918,224.7125726,215.2414109,JPN
1951,30,1,0.448559706,0.489688739,0.467583657,5307.923631,4986.769756,10294.70054,185.1723026,214.1429766,198.1583616,JPN
1951,35,1,0.35135085,0.428390084,0.389046319,4280.953624,5000.863048,9281.824274,159.9393624,212.6976421,184.6111199,JPN
1951,40,1,0.272386651,0.351722217,0.314425266,3420.980224,4978.891768,8399.880417,145.4489186,224.734813,183.9067635,JPN
1951,45,1,0.19457744,0.264418874,0.233865803,2664.992938,4656.926704,7321.926686,135.1985355,234.1941373,184.913022,JPN
1951,50,1,0.150444108,0.204739253,0.182038434,2407.007937,4558.965802,6965.979198,140.8480651,260.3703702,201.3350786,JPN
1951,55,1,0.123963463,0.148747668,0.138539618,2397.009578,4106.993018,6504.004202,171.0858123,291.7847338,231.5746806,JPN
1951,60,1,0.092394095,0.114281759,0.105070884,2328.014288,3963.045689,6291.058255,193.4555496,352.2187958,270.1705774,JPN
1951,65,1,0.069502702,0.07737669,0.073787629,2306.011374,3065.053938,5371.063512,238.1844483,385.6783774,304.6755687,JPN
1951,70,1,0.054822147,0.057218146,0.056026602,2254.007652,2378.054813,4632.061492,300.94742,434.4168703,357.3063732,JPN
1951,75,1,0.053785295,0.047051329,0.050743651,2069.004662,1491.04155,3560.04921,469.8957672,528.4669617,492.7703084,JPN
1951,80,1,0.049288477,0.045201092,0.047673241,1234.99919,740.0263961,1975.027056,692.2532614,772.0176898,720.1322342,JPN
1951,85,1,0.048617219,0.046349802,0.047835456,599.9987111,301.0118344,901.0109456,1025.497795,1155.472876,1065.541029,JPN
1951,90,1,0.047245243,0.041065883,0.045424642,156.9992505,57.00232083,214.0018465,1500.301261,1492.770071,1498.289735,JPN
1951,95,1,0.044962653,0.071005805,0.051033266,24.99923494,11.99998102,36.99911801,1995.086744,3087.433959,2253.691605,JPN
1951,100,1,0.030302216,0.099997293,0.046510376,0.999973122,0.999972931,1.999946155,1158.270025,2542.304062,1591.469089,JPN
1951,105,1,0,0,0,0,0,0,0,0,0,JPN
1952,0,1,0.15458033,0.150029967,0.152098931,6966.765418,8110.303439,15077.07875,707.7417059,788.2934296,748.9078709,JPN
1952,1,1,0.532925954,0.488893747,0.510426759,15490.83584,14849.65379,30340.53732,341.4645561,314.1849609,327.5457651,JPN
1952,5,1,0.500164101,0.376696129,0.432531472,3464.936825,3161.000367,6625.940964,75.97818141,67.15568564,71.49722328,JPN
1952,10,1,0.355574915,0.261051856,0.305713659,1336.015852,1095.028998,2431.041133,30.30449118,24.2663405,27.25021168,JPN
1952,15,1,0.415969809,0.28721679,0.346777943,2672.422993,2143.28062,4815.635942,62.20817443,49.18357348,55.64859876,JPN
1952,20,1,0.450963624,0.358283082,0.401453982,4724.249833,4302.969066,9027.042061,118.6160373,108.3624998,113.4947198,JPN
1952,25,1,0.466655063,0.435690715,0.451157138,5242.39365,4902.762264,10145.09386,148.3184917,153.1459879,150.6119245,JPN
1952,30,1,0.398388014,0.443354486,0.418992952,4100.96239,3859.591441,7960.581178,139.1333339,163.9356843,150.1475745,JPN
1952,35,1,0.309428549,0.372362912,0.339607731,3275.276435,3630.769261,6906.106599,121.6188177,155.0510945,137.1694346,JPN
1952,40,1,0.227887212,0.308495231,0.27029648,2630.960144,3954.017308,6584.995282,107.8972082,175.6588788,140.4242225,JPN
1952,45,1,0.172441156,0.230091115,0.205104377,2133.971376,3722.108036,5856.086848,107.0867966,186.6973873,146.9013557,JPN
1952,50,1,0.137124481,0.175689443,0.15935499,2191.988315,3822.225726,6014.211906,123.7315868,211.3450246,167.9904572,JPN
1952,55,1,0.107381895,0.134070131,0.123163138,2030.01392,3667.288681,5697.296465,140.6498753,252.4565937,196.7331505,JPN
1952,60,1,0.085567401,0.103070265,0.095750654,2057.046311,3447.339613,5504.376677,168.7458157,299.6269258,232.294853,JPN
1952,65,1,0.065077889,0.075377002,0.070728431,2079.092767,2927.295284,5006.381164,213.586144,361.495016,280.7532889,JPN
1952,70,1,0.0529054,0.053659384,0.053285762,2119.15065,2188.214668,4307.364715,278.0518642,391.291087,325.9767925,JPN
1952,75,1,0.049776875,0.046557171,0.048311368,1949.182288,1523.134626,3472.319172,416.9633258,508.2371692,452.6195597,JPN
1952,80,1,0.050467345,0.042194198,0.047153171,1267.142683,708.0498738,1975.194938,677.4353301,696.4223025,684.1222204,JPN
1952,85,1,0.048469557,0.041301134,0.046009237,631.0799313,281.0186949,912.099529,1003.794315,999.350684,1002.422013,JPN
1952,90,1,0.045580421,0.044947692,0.045396558,151.0202427,61.00390708,212.0241694,1416.4493,1562.30728,1455.54816,JPN
1952,95,1,0.03932759,0.041661087,0.03988607,21.00211314,6.999479173,28.00161658,1566.258223,1641.702143,1584.460541,JPN
1952,100,1,0.024391918,0.12499129,0.052630839,1.000068622,1.999860641,2.999957835,1096.96741,4705.55445,2244.357483,JPN
1952,105,1,0,0,0,0,0,0,0,0,0,JPN
1953,0,1,0.151845279,0.14564334,0.14846441,6315.418267,7259.880668,13575.30657,685.1698877,752.8073974,719.7536742,JPN
1953,1,1,0.511704889,0.465507787,0.488012885,12593.37459,12062.7638,24656.24099,291.895743,268.2581448,279.8334975,JPN
1953,5,1,0.479662759,0.367539825,0.419007459,3399.864024,3070.552663,6470.46821,71.26241542,62.13575433,66.61937835,JPN
1953,10,1,0.299920989,0.220999704,0.257373157,991.6827506,854.9616657,1846.675566,21.92269424,18.44967335,20.16557476,JPN
1953,15,1,0.320441784,0.205167894,0.256709064,1804.673654,1428.606616,3233.235259,42.02484722,32.84578087,37.40551812,JPN
1953,20,1,0.362635899,0.258036525,0.304667862,3463.687781,3062.867749,6526.38777,85.45671798,75.61032156,80.53284044,JPN
