Year,Age,COD.chap,COD.frac.F,COD.frac.M,COD.frac.T,Deaths.F,Deaths.M,Deaths.T,Rates.F,Rates.M,Rates.T,Country
1951,0,1,0.062015504,0.075100994,0.069657313,37.5503876,62.44647628,100.0975585,128.5139625,200.6092277,165.8690666,NOR
1951,1,1,0.195266272,0.152444082,0.170306383,41.88461538,47.25766529,89.32569803,33.84626781,35.9685243,35.01104727,NOR
1951,5,1,0.25,0.189955649,0.213110459,18.25,22.98463349,41.343429,13.35131392,15.96814898,14.73230129,NOR
1951,10,1,0.305555556,0.142743041,0.198008684,11.76388889,10.56298505,22.27597698,11.15325734,9.648661782,10.36327737,NOR
1951,15,1,0.367342433,0.186322533,0.23941283,17.26509437,21.33393004,38.66517211,17.35612726,20.67323081,19.07776279,NOR
1951,20,1,0.392854332,0.147666811,0.219389373,31.62477375,29.53336227,61.53871918,28.52614502,25.49492384,27.14513362,NOR
1951,25,1,0.35245728,0.240270433,0.28173328,45.11453187,50.33665575,95.08498193,35.45021297,38.30958501,36.76116204,NOR
1951,30,1,0.323070949,0.310564108,0.314528432,41.67615244,85.09456548,126.7549583,31.42259356,63.91711938,47.69458533,NOR
1951,35,1,0.216341153,0.215940196,0.216108642,44.9989599,61.3270158,106.3254519,36.099959,48.65678817,42.41295134,NOR
1951,40,1,0.128903829,0.151452358,0.141016198,31.83924581,45.73861225,77.41789279,26.95492377,39.02634166,32.89903215,NOR
1951,45,1,0.0855436,0.109438591,0.099488954,29.89748808,51.10782177,81.23273134,26.87835451,48.36526918,37.45116487,NOR
1951,50,1,0.086774274,0.086487755,0.086604359,40.69713434,60.15223369,100.8507762,39.25200631,61.94837521,50.22893021,NOR
1951,55,1,0.039306468,0.066330128,0.054719025,25.29371191,55.6178126,81.09359461,28.63166273,67.63161,47.5404304,NOR
1951,60,1,0.026742336,0.037646714,0.032483294,23.11874947,36.23496184,59.34697797,31.50576895,55.80397387,42.908047,NOR
1951,65,1,0.030485379,0.034856623,0.032774572,35.21061293,43.86706019,79.1014291,58.22101266,86.53119258,71.15192139,NOR
