"0"	"1-4"	"5-9"	"10-14"	"15-19"	"20-24"	"25-29"	"30-34"	"35-39"	"40-44"	"45-49"	"50-54"	"55-59"	"60-64"	"65-69"	"70-74"	"75-79"	"80-84"	"85-89"	"90-94"	"95-99"	"100-104"	"105+"
"0"	0.0904476999999826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1-4"	0.0111072500000007	0.0111859333905686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5-9"	0.0156994500000049	0.0158106440802626	0.0158414130605138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10-14"	0.0163118499999979	0.0164273662328838	0.0164593329679712	0.0164761204569919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15-19"	0.14646255000001	0.147500499745784	0.147787645909282	0.147938539553184	0.148106218380788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20-24"	0.188752450000001	0.190089680568308	0.190459670080494	0.190654042331978	0.190870045839095	0.191499023103525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25-29"	0.190493949999995	0.191843864727954	0.192217323981342	0.1924135646031	0.192631636485731	0.193267269909645	0.194049717931534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30-34"	0.246402199999999	0.248148683939848	0.248631811864814	0.248885729951146	0.249167887046339	0.249991012504662	0.251004295516596	0.252180743021366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"35-39"	0.332441800000004	0.33479749866974	0.335449225125944	0.335791671054129	0.33617221581352	0.337281214756244	0.338646352141329	0.340231300860235	0.342464571921323	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40-44"	0.392248499999995	0.39502837413686	0.395797408903567	0.396201544087539	0.396650632602178	0.397960083304483	0.399572006838876	0.401443485179695	0.404080613115232	0.407822609163808	0	0	0	0	0	0	0	0	0	0	0	0	0
"45-49"	0.477944000000003	0.481329347477	0.482266095214219	0.482758121556555	0.483304920009624	0.484895887345571	0.486854174921861	0.489127757863896	0.492330904270765	0.496875708574752	0.503657721012775	0	0	0	0	0	0	0	0	0	0	0	0
