"","LE Age 0","LE Age 1","LE Age 5","LE Age 10","LE Age 15","LE Age 20","LE Age 25","LE Age 30","LE Age 35","LE Age 40","LE Age 45","LE Age 50","LE Age 55","LE Age 60","LE Age 65","LE Age 70","LE Age 75","LE Age 80","LE Age 85","LE Age 90","LE Age 95","LE Age 100","LE Age 105"
"Contribution Age 0",0.195610099999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 1",0.0633842000000022,0.0637792832096322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 5",0.0221981999999963,0.0223365123865313,0.0223709392250941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 10",0.0223420500000029,0.0224813261259456,0.0225160021620838,0.0225378874644298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 15",0.117135849999999,0.117865860483638,0.118047587045127,0.118162303562436,0.11828627133631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 20",0.118302949999999,0.119040333980937,0.119223909880491,0.119339782215223,0.11946500002285,0.119895688413479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 25",0.0804713500000003,0.0809730804291899,0.0810980099499601,0.0811768473816792,0.0812620448268806,0.0815551227507314,0.0819241350510191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 30",0.104013050000003,0.104661275737498,0.104822642886158,0.104924507484827,0.105034586891075,0.105413182919701,0.105889891044302,0.106485363510347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 35",0.0907021500000005,0.0912673148133851,0.0914079905100709,0.0914968056423235,0.0915927821560032,0.0919228461965724,0.0923384530258672,0.0928576436955509,0.0936128880032429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 40",0.0622161000000008,0.0626041683108026,0.062700818008521,0.0627617910545288,0.0628276845336696,0.0630543988381325,0.0633398417946689,0.0636962678714121,0.0642147038845208,0.0649917570764099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 45",0.0642192999999963,0.0646202470679034,0.0647201572475533,0.0647831427363663,0.0648512149219094,0.0650855270511466,0.06538050823476,0.0657486917548347,0.0662841894927941,0.0670866190737592,0.0683147159537688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 50",0.114043299999999,0.114755303474795,0.114932722323093,0.115044572647797,0.115165455833996,0.115581545409641,0.116105371680805,0.11675919628635,0.117710140996283,0.119135114832899,0.121316006713726,0.124436402911681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 55",0.173670200000003,0.174754373963491,0.175024517897181,0.175194836150015,0.175378908074564,0.176012472774639,0.176810091254269,0.177805693628288,0.179253741567934,0.181423665160416,0.184744736733933,0.189496496740039,0.196277007873562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 60",0.253024900000001,0.254604553311688,0.254998168438153,0.255246321392227,0.255514514294889,0.2564376423678,0.257599796563604,0.259050383351848,0.261160171263133,0.264321676844423,0.26916031936893,0.276083399804962,0.285962331187726,0.300758307837412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 65",0.252768149999998,0.254344182237579,0.254736616814913,0.254984259001878,0.255251879601991,0.256172503495702,0.257331650832817,0.258779286368467,0.260884991695711,0.264041411358854,0.268873316846131,0.275786908553639,0.285650951062863,0.300422725474286,0.323349410764269,NA,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 70",0.232360649999999,0.233806792154342,0.234166518399622,0.234393827225428,0.234639447438603,0.235483687569488,0.236546852454353,0.237875671031337,0.239808822828507,0.242707942227324,0.247147341877709,0.253499525579411,0.262560802964005,0.276127909164297,0.297177972987157,0.331529919665321,NA,NA,NA,NA,NA,NA,NA
"Contribution Age 75",0.20191495,0.203170634330343,0.203482849829645,0.203680250030585,0.203893542454266,0.204626407947165,0.205549387549668,0.20670338075149,0.208382299781937,0.210900648616828,0.214757482650862,0.220276165978507,0.228147818959646,0.239932827292551,0.258215334939352,0.288051114388854,0.340466430830437,NA,NA,NA,NA,NA,NA
